"Data file recorded 2020/12/8  11:40:17"
  index,   time,    ref,ctrl_LR,ctrl_FB,ctrl_UD,ctrl_YA,  pitch,   roll,    yaw,    vgx,    vgy,    vgz,   templ,   temph,    tof,      h,    bat,   baro,   time,    agx,    agy,    agz
  0.000,  0.025,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-12.000,  0.000,  0.000,  0.000, 80.000, 81.000, 10.000,  0.000, 29.000,195.410, 77.000, -2.000,  8.000,-998.000
  1.000,  0.124,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-12.000,  0.000,  0.000,  0.000, 80.000, 81.000, 10.000,  0.000, 29.000,195.410, 77.000, -4.000, 14.000,-999.000
  2.000,  0.225,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-12.000,  0.000,  0.000,  0.000, 80.000, 81.000, 10.000,  0.000, 29.000,195.410, 78.000,  3.000,  6.000,-1001.000
  3.000,  0.327,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-12.000,  0.000,  0.000,  0.000, 79.000, 82.000, 10.000,  0.000, 29.000,195.410, 78.000,-26.000, 86.000,-1012.000
  4.000,  0.429,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-12.000,  0.000,  0.000,  0.000, 79.000, 82.000, 10.000,  0.000, 29.000,195.410, 78.000,-16.000, 48.000,-1007.000
  5.000,  0.489,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 79.000, 82.000, 10.000,  0.000, 29.000,195.410, 78.000,  9.000,  0.000,-984.000
  6.000,  0.582,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 79.000, 82.000, 10.000,  0.000, 29.000,195.410, 78.000, -3.000,-46.000,-1139.000
  7.000,  0.685,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 79.000, 82.000, 10.000,  0.000, 29.000,195.410, 78.000, -9.000,-37.000,-1295.000
  8.000,  0.786,  0.000,  0.000,  0.000,  0.000,  0.000, -1.000,  0.000,-13.000,  0.000,  0.000, -2.000, 79.000, 82.000, 10.000,  0.000, 29.000,195.410, 78.000, 10.000, 16.000,-1225.000
  9.000,  0.889,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -4.000, 79.000, 82.000, 15.000,  0.000, 29.000,195.410, 78.000,-12.000, -2.000,-1119.000
 10.000,  0.991,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -5.000, 79.000, 82.000, 23.000,  0.000, 29.000,195.670, 78.000, -7.000,-23.000,-1031.000
 11.000,  1.092,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -5.000, 79.000, 82.000, 30.000,  0.000, 29.000,195.680, 78.000,  5.000,-35.000,-994.000
 12.000,  1.194,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -5.000, 79.000, 82.000, 37.000,  0.000, 29.000,195.780, 79.000,-13.000,-10.000,-960.000
 13.000,  1.296,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -4.000, 80.000, 82.000, 42.000,  0.000, 29.000,195.870, 79.000,-18.000,-46.000,-999.000
 14.000,  1.398,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -3.000, 80.000, 82.000, 49.000, 10.000, 29.000,195.990, 79.000,  6.000,-22.000,-955.000
 15.000,  1.500,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -2.000, 80.000, 82.000, 55.000, 10.000, 29.000,195.960, 79.000, -7.000,-22.000,-953.000
 16.000,  1.602,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -2.000, 80.000, 82.000, 61.000, 10.000, 29.000,196.000, 79.000,-28.000, 31.000,-939.000
 17.000,  1.704,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -1.000, 80.000, 82.000, 65.000, 20.000, 29.000,196.090, 79.000, -7.000,  0.000,-952.000
 18.000,  1.806,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000, -1.000, 80.000, 82.000, 70.000, 20.000, 29.000,196.130, 79.000, -3.000, 14.000,-945.000
 19.000,  1.908,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 74.000, 20.000, 29.000,196.150, 79.000, -2.000,  8.000,-940.000
 20.000,  2.011,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 78.000, 20.000, 29.000,196.310, 79.000,-13.000,-14.000,-970.000
 21.000,  2.118,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 81.000, 30.000, 29.000,196.240, 80.000, -3.000,-31.000,-997.000
 22.000,  2.214,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 84.000, 30.000, 29.000,196.280, 80.000,-21.000,-27.000,-1009.000
 23.000,  2.316,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 86.000, 30.000, 29.000,196.310, 80.000,-14.000, -1.000,-967.000
 24.000,  2.418,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 88.000, 30.000, 29.000,196.330, 80.000, -2.000, -3.000,-977.000
 25.000,  2.520,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 90.000, 30.000, 29.000,196.400, 80.000,-19.000, 41.000,-975.000
 26.000,  2.622,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 92.000, 40.000, 29.000,196.370, 80.000,-21.000, 32.000,-961.000
 27.000,  2.758,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 92.000, 40.000, 29.000,196.440, 80.000, -7.000,  8.000,-957.000
 28.000,  2.835,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  0.000, 80.000, 82.000, 93.000, 40.000, 29.000,196.410, 80.000, -5.000, 29.000,-956.000
 29.000,  2.929,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 80.000, 82.000, 93.000, 40.000, 29.000,196.330, 80.000, -8.000, 38.000,-967.000
 30.000,  3.050,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 80.000, 82.000, 93.000, 40.000, 29.000,196.300, 80.000, -6.000, 21.000,-972.000
 31.000,  3.133,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 80.000, 82.000, 92.000, 40.000, 29.000,196.350, 81.000, -9.000, -5.000,-969.000
 32.000,  3.235,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 80.000, 82.000, 92.000, 40.000, 29.000,196.260, 81.000, -3.000,-23.000,-992.000
 33.000,  3.337,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 91.000, 40.000, 29.000,196.360, 81.000,-16.000, -2.000,-991.000
 34.000,  3.439,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 89.000, 40.000, 29.000,196.280, 81.000, -1.000,  3.000,-961.000
 35.000,  3.541,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 88.000, 40.000, 29.000,196.240, 81.000,-16.000,-30.000,-1034.000
 36.000,  3.643,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 86.000, 40.000, 29.000,196.280, 81.000,-12.000,-15.000,-1011.000
 37.000,  3.747,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 85.000, 40.000, 29.000,196.170, 81.000, -8.000, 16.000,-987.000
 38.000,  3.847,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 83.000, 40.000, 29.000,196.260, 81.000,  3.000,  9.000,-973.000
 39.000,  3.950,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 81.000, 30.000, 29.000,196.170, 81.000,  2.000,-29.000,-1008.000
 40.000,  4.058,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 79.000, 30.000, 29.000,196.200, 81.000, 12.000, 24.000,-972.000
 41.000,  4.153,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 77.000, 30.000, 29.000,196.240, 82.000,-21.000,-50.000,-1034.000
 42.000,  4.255,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,-13.000,  0.000,  0.000,  1.000, 79.000, 81.000, 75.000, 30.000, 29.000,196.130, 82.000,-10.000,  7.000,-990.000
